gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
56982,2016,6,PIT,0.625,0.5,MIA,0.375,0.375,0,4-1-0,0.8,0.5,1-4-0,0.2,0.5,win,-1.0,-6.2,-7.332999999999999,-6.2,-4.9375,9.2,5.332999999999999,9.2,6.5
56983,2016,6,CIN,0.75,0.75,NE,0.75,0.875,0,2-3-0,0.4,0.33299999999999996,4-1-0,0.8,0.667,win,1.0,8.0,10.333,8.0,9.375,-3.6,-3.667,-3.6,8.75
56984,2016,6,CAR,0.938,0.875,NO,0.43799999999999994,0.5,1,1-4-0,0.2,0.0,1-3-0,0.25,0.0,win,-0.6000000000000001,-4.0,-5.0,-2.6,-4.25,-2.4,-10.0,-2.4,12.0
56985,2016,6,BAL,0.313,0.25,NYG,0.375,0.375,0,3-2-0,0.6,1.0,2-3-0,0.4,0.5,win,0.0,-3.8,-7.667000000000001,-3.8,-1.375,1.2,-1.6669999999999998,1.2,-4.5625
56986,2016,6,CLE,0.188,0.125,TEN,0.188,0.125,0,0-5-0,0.0,0.0,2-3-0,0.4,0.0,win,-1.0,-1.8,-0.33299999999999996,-1.8,-7.75,-12.2,-12.333,-12.2,-9.625
56987,2016,6,PHI,0.43799999999999994,0.5,WAS,0.563,0.75,1,3-1-0,0.75,0.5,3-2-0,0.6,0.33299999999999996,win,0.6000000000000001,-1.4,6.332999999999999,-1.4,0.5625,16.0,15.0,11.4,-3.3125
56988,2016,6,KC,0.688,0.625,OAK,0.43799999999999994,0.375,1,2-2-0,0.5,0.0,4-1-0,0.8,0.5,loss,-0.6000000000000001,1.0,3.667,1.0,-2.5,-2.25,-5.0,1.4,7.375
56989,2016,6,DAL,0.25,0.375,GB,0.625,0.625,0,4-1-0,0.8,1.0,3-1-0,0.75,1.0,loss,1.0,3.75,3.667,0.2,2.8125,7.6,11.667,7.6,-6.1875
56990,2016,6,ATL,0.5,0.5,SEA,0.625,0.625,0,4-1-0,0.8,1.0,3-1-0,0.75,1.0,win,-1.0,6.25,7.667000000000001,5.4,9.125,7.0,11.667,7.0,-0.375
56991,2016,6,IND,0.5,0.5,HOU,0.563,0.625,1,2-3-0,0.4,0.0,3-2-0,0.6,1.0,win,-0.2,-4.4,-12.667,-4.4,1.625,-2.2,2.333,-2.2,-4.6875
56992,2016,6,NYJ,0.625,0.5,ARI,0.813,0.75,0,1-4-0,0.2,0.33299999999999996,2-3-0,0.4,0.33299999999999996,win,0.0,4.8,-2.333,4.8,11.0,-8.8,-16.333,-8.8,4.5625
56993,2016,7,CHI,0.375,0.625,GB,0.625,0.625,1,1-5-0,0.16699999999999998,0.0,3-2-0,0.6,0.667,win,0.6000000000000001,0.2,0.0,0.2,2.8125,-7.0,-1.3330000000000002,-6.6,-3.875
56994,2016,7,NYG,0.375,0.375,LA,0.43799999999999994,0.625,0,3-3-0,0.5,0.33299999999999996,3-3-0,0.5,0.5,loss,0.0,-4.5,-3.333,0.2,-3.125,-2.5,-5.667000000000001,-3.2,-1.375
56995,2016,7,CLE,0.188,0.125,CIN,0.75,0.75,1,0-6-0,0.0,0.0,2-4-0,0.33299999999999996,0.5,win,0.6000000000000001,-6.0,-5.667000000000001,-7.4,8.75,-10.5,-11.0,-8.8,-9.625
56996,2016,7,WAS,0.563,0.375,DET,0.43799999999999994,0.5,0,4-2-0,0.667,1.0,3-3-0,0.5,0.667,win,0.0,-0.5,0.33299999999999996,-1.4,-2.625,0.0,8.0,4.4,0.5625
56997,2016,7,OAK,0.43799999999999994,0.5,JAX,0.313,0.5,0,4-2-0,0.667,1.0,2-3-0,0.4,0.33299999999999996,loss,0.0,-3.6,0.667,-3.6,-4.5,-1.8330000000000002,-4.0,-2.4,-2.5
56998,2016,7,NO,0.43799999999999994,0.375,KC,0.688,0.75,0,2-3-0,0.4,0.5,3-2-0,0.6,1.0,win,0.0,1.4,2.667,1.4,7.375,-2.6,-3.0,-2.6,-4.25
56999,2016,7,BUF,0.5,0.375,MIA,0.375,0.375,1,4-2-0,0.667,0.667,2-4-0,0.33299999999999996,0.667,win,-0.2,-2.667,-4.333,-2.8,-4.9375,9.833,18.667,13.0,1.25
57000,2016,7,BAL,0.313,0.25,NYJ,0.625,0.75,0,3-3-0,0.5,0.667,1-5-0,0.16699999999999998,0.0,win,0.0,-11.5,-17.667,-13.6,4.5625,0.33299999999999996,-3.667,-0.8,-4.5625
57001,2016,7,MIN,0.688,0.625,PHI,0.43799999999999994,0.375,0,5-0-0,1.0,1.0,3-2-0,0.6,1.0,win,0.0,11.4,7.667000000000001,11.4,-3.3125,11.2,14.667,11.2,3.9375
57002,2016,7,IND,0.5,0.5,TEN,0.188,0.125,1,2-4-0,0.33299999999999996,0.0,3-3-0,0.5,0.33299999999999996,loss,-1.0,-1.167,2.667,0.4,-7.75,-2.333,0.0,-2.0,-4.6875
57003,2016,7,SD,0.25,0.125,ATL,0.5,0.5,0,2-4-0,0.33299999999999996,0.0,4-2-0,0.667,0.5,loss,0.0,5.5,6.667000000000001,8.0,-0.375,3.0,1.3330000000000002,4.8,-4.875
57004,2016,7,TB,0.375,0.375,SF,0.313,0.5,0,2-3-0,0.4,0.667,1-5-0,0.16699999999999998,0.33299999999999996,loss,0.0,-9.667,-16.0,-17.2,-9.3125,-9.6,-7.332999999999999,-9.6,-4.6875
57005,2016,7,NE,0.75,0.625,PIT,0.625,0.75,0,5-1-0,0.833,1.0,4-2-0,0.667,1.0,loss,-1.0,5.167000000000001,10.667,1.8,6.5,9.667,7.332999999999999,11.2,9.375
57006,2016,7,SEA,0.625,0.625,ARI,0.813,0.75,1,4-1-0,0.8,0.5,3-3-0,0.5,0.5,tie,-0.2,8.167,11.0,10.2,11.0,5.4,10.333,5.4,9.125
57007,2016,7,HOU,0.563,0.5,DEN,0.75,0.75,0,4-2-0,0.667,0.0,4-2-0,0.667,0.667,win,0.0,5.332999999999999,1.6669999999999998,6.2,3.6875,-3.167,-2.667,-5.6,1.625
57008,2016,8,JAX,0.313,0.125,TEN,0.188,0.125,1,2-4-0,0.33299999999999996,0.5,3-4-0,0.429,0.25,win,-1.0,-2.1430000000000002,2.333,-1.4,-7.75,-5.832999999999999,-4.333,-7.8,-4.5
57009,2016,8,WAS,0.563,0.375,CIN,0.75,0.75,0,4-3-0,0.5710000000000001,0.667,3-4-0,0.429,0.667,tie,0.0,-3.1430000000000002,-6.0,-3.0,8.75,-0.429,3.333,4.6,0.5625
57010,2016,8,GB,0.625,0.625,ATL,0.5,0.5,0,4-2-0,0.667,0.5,4-3-0,0.5710000000000001,0.33299999999999996,win,0.0,4.2860000000000005,0.667,6.0,-0.375,2.833,3.0,2.6,2.8125
